name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
,,,,,,40.7381003,-74.0354699
Per Se,"10 Columbus Cir, New York, NY 10019, United States",thomaskeller.com,+1 212-823-9335,1727,4.5,40.733047,-74.074975
Gramercy Tavern,"42 E 20th St, New York, NY 10003, United States",gramercytavern.com,+1 212-477-0777,3863,4.6,40.733047,-74.074975
Eleven Madison Park,"11 Madison Ave, New York, NY 10010, United States",elevenmadisonpark.com,+1 212-889-0905,2686,4.5,40.733047,-74.074975
ROBERT,"2 Columbus Cir, New York, NY 10019, United States",robertnyc.com,+1 212-299-7730,1555,4.5,40.733047,-74.074975
Le Coucou,"138 Lafayette St, New York, NY 10013, United States",lecoucou.com,+1 212-271-4252,1647,4.5,40.733047,-74.074975
Atera,"77 Worth St, New York, NY 10013, United States",ateranyc.com,+1 212-226-1444,490,4.7,40.733047,-74.074975
Frevo,"48 W 8th St, New York, NY 10011, United States",frevonyc.com,+1 646-455-0804,544,4.8,40.733047,-74.074975
