name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Gramercy Tavern,"42 E 20th St, New York, NY 10003, United States",gramercytavern.com,+1 212-477-0777,3861,4.6,40.7598375,-74.1274868
Per Se,"10 Columbus Cir, New York, NY 10019, United States",thomaskeller.com,+1 212-823-9335,1727,4.5,40.7598375,-74.1274868
ROBERT,"2 Columbus Cir, New York, NY 10019, United States",robertnyc.com,+1 212-299-7730,1555,4.5,40.7598375,-74.1274868
Eleven Madison Park,"11 Madison Ave, New York, NY 10010, United States",elevenmadisonpark.com,+1 212-889-0905,2683,4.5,40.7598375,-74.1274868
